Date,Time,City,Temperature,Humidity,Wind Speed,Weather
2025-03-09,13:05:24,Delhi,31.51,11,1.43,clear sky
2025-03-09,13:05:26,Mumbai,30.5,41,4.88,clear sky
2025-03-09,13:05:28,Kolkata,32.62,26,2.56,clear sky
2025-03-09,13:05:30,Chennai,29.25,51,5.22,clear sky
2025-03-09,13:05:32,Bengaluru,33.43,13,4.65,broken clouds
2025-03-09,13:05:35,Hyderabad,33.66,17,4.45,clear sky
2025-03-09,13:05:37,Pune,33.82,13,2.95,clear sky
2025-03-09,13:05:39,Ahmedabad,37.1,12,0.14,clear sky
2025-03-09,13:05:41,Jaipur,32.32,12,4.09,clear sky
2025-03-09,13:05:43,Lucknow,32.01,10,0.16,clear sky
2025-03-09,13:05:46,Kanpur,33.19,9,2.46,clear sky
2025-03-09,13:05:48,Guwahati,31.69,17,2.92,clear sky
2025-03-09,13:05:50,Indore,33.55,12,3.84,clear sky
2025-03-09,13:05:52,Patna,32.4,10,3.09,clear sky
2025-03-09,13:05:55,Bhopal,33.38,12,2.52,clear sky
2025-03-09,13:05:57,Ludhiana,31.32,14,1.18,broken clouds
2025-03-09,13:05:59,Agra,33.71,10,1.96,clear sky
2025-03-09,13:06:01,Varanasi,34.48,8,1.28,clear sky
2025-03-09,13:06:03,Surat,35.75,18,3.22,clear sky
2025-03-09,13:06:06,Visakhapatnam,29.22,56,4.04,clear sky
2025-03-09,13:06:38,Delhi,31.51,11,1.43,clear sky
2025-03-09,13:06:40,Mumbai,30.74,34,3.38,clear sky
2025-03-09,13:06:42,Kolkata,32.62,26,2.56,clear sky
2025-03-09,13:06:44,Chennai,29.25,51,5.22,clear sky
2025-03-09,13:06:47,Bengaluru,33.43,13,4.65,broken clouds
2025-03-09,13:06:49,Hyderabad,33.66,17,4.45,clear sky
2025-03-09,13:06:51,Pune,34.42,12,2.29,clear sky
2025-03-09,13:06:53,Ahmedabad,37.1,12,0.14,clear sky
2025-03-09,13:06:55,Jaipur,32.39,12,4.09,clear sky
2025-03-09,13:06:58,Lucknow,32.01,10,0.16,clear sky
2025-03-09,13:07:00,Kanpur,33.19,9,2.46,clear sky
2025-03-09,13:07:02,Guwahati,31.69,17,2.92,clear sky
2025-03-09,13:07:04,Indore,33.55,12,3.84,clear sky
2025-03-09,13:07:06,Patna,31.69,11,2.54,clear sky
2025-03-09,13:07:09,Bhopal,33.38,12,2.52,clear sky
2025-03-09,13:07:11,Ludhiana,30.58,15,1.5,scattered clouds
2025-03-09,13:07:13,Agra,33.71,10,1.96,clear sky
2025-03-09,13:07:15,Varanasi,34.48,8,1.28,clear sky
2025-03-09,13:07:18,Surat,35.75,18,3.22,clear sky
2025-03-09,13:07:20,Visakhapatnam,29.22,56,4.04,clear sky
2025-03-09,13:07:52,Delhi,31.51,11,1.43,clear sky
2025-03-09,13:07:54,Mumbai,30.74,34,3.38,clear sky
2025-03-09,13:07:56,Kolkata,32.62,26,2.56,clear sky
2025-03-09,13:07:59,Chennai,29.25,51,5.22,clear sky
2025-03-09,13:08:01,Bengaluru,33.43,13,4.65,broken clouds
2025-03-09,13:08:03,Hyderabad,33.66,17,4.45,clear sky
2025-03-09,13:08:05,Pune,34.42,12,2.29,clear sky
2025-03-09,13:08:07,Ahmedabad,37.1,12,0.14,clear sky
2025-03-09,13:08:10,Jaipur,32.39,12,4.09,clear sky
2025-03-09,13:08:12,Lucknow,32.01,10,0.16,clear sky
2025-03-09,13:08:14,Kanpur,33.19,9,2.46,clear sky
2025-03-09,13:08:16,Guwahati,31.69,17,2.92,clear sky
2025-03-09,13:08:19,Indore,33.55,12,3.84,clear sky
2025-03-09,13:08:21,Patna,31.69,11,2.54,clear sky
2025-03-09,13:08:23,Bhopal,33.38,12,2.52,clear sky
2025-03-09,13:08:25,Ludhiana,31.32,14,1.18,broken clouds
2025-03-09,13:08:27,Agra,33.71,10,1.96,clear sky
2025-03-09,13:08:30,Varanasi,34.48,8,1.28,clear sky
2025-03-09,13:08:32,Surat,35.75,18,3.22,clear sky
2025-03-09,13:08:34,Visakhapatnam,29.22,56,4.04,clear sky
2025-03-09,13:09:06,Delhi,31.51,11,1.43,clear sky
2025-03-09,13:09:08,Mumbai,30.74,34,3.38,clear sky
2025-03-09,13:09:11,Kolkata,32.62,26,2.56,clear sky
2025-03-09,13:09:13,Chennai,29.25,51,5.22,clear sky
2025-03-09,13:09:15,Bengaluru,33.43,13,4.65,broken clouds
2025-03-09,13:09:17,Hyderabad,33.66,17,4.45,clear sky
2025-03-09,13:09:20,Pune,34.42,12,2.29,clear sky
2025-03-09,13:09:22,Ahmedabad,37.1,12,0.14,clear sky
2025-03-09,13:09:24,Jaipur,32.39,12,4.09,clear sky
2025-03-09,13:09:26,Lucknow,32.01,10,0.16,clear sky
2025-03-09,13:09:28,Kanpur,33.19,9,2.46,clear sky
2025-03-09,13:09:31,Guwahati,31.69,17,2.92,clear sky
2025-03-09,13:09:33,Indore,33.55,12,3.84,clear sky
2025-03-09,13:09:35,Patna,31.69,11,2.54,clear sky
2025-03-09,13:09:37,Bhopal,33.38,12,2.52,clear sky
2025-03-09,13:09:39,Ludhiana,31.32,14,1.18,broken clouds
2025-03-09,13:09:42,Agra,33.71,10,1.96,clear sky
2025-03-09,13:09:44,Varanasi,34.48,8,1.28,clear sky
2025-03-09,13:09:46,Surat,35.75,18,3.22,clear sky
2025-03-09,13:09:48,Visakhapatnam,29.22,56,4.04,clear sky
2025-03-09,13:10:20,Delhi,31.51,11,1.43,clear sky
2025-03-09,13:10:23,Mumbai,30.5,41,4.88,clear sky
2025-03-09,13:10:25,Kolkata,33.42,23,2.04,clear sky
2025-03-09,13:10:27,Chennai,29.25,51,5.22,clear sky
2025-03-09,13:10:29,Bengaluru,33.43,13,4.65,broken clouds
2025-03-09,13:10:31,Hyderabad,33.66,17,4.45,clear sky
2025-03-09,13:10:34,Pune,34.42,12,2.29,clear sky
2025-03-09,13:10:36,Ahmedabad,37.1,12,0.14,clear sky
2025-03-09,13:10:38,Jaipur,32.39,12,4.09,clear sky
2025-03-09,13:10:40,Lucknow,32.01,10,0.16,clear sky
2025-03-09,13:10:43,Kanpur,33.19,9,2.46,clear sky
2025-03-09,13:10:45,Guwahati,31.69,17,2.92,clear sky
2025-03-09,13:10:47,Indore,33.55,12,3.84,clear sky
2025-03-09,13:10:49,Patna,31.69,11,2.54,clear sky
2025-03-09,13:10:51,Bhopal,33.38,12,2.52,clear sky
2025-03-09,13:10:54,Ludhiana,31.32,14,1.18,broken clouds
2025-03-09,13:10:56,Agra,33.71,10,1.96,clear sky
2025-03-09,13:10:58,Varanasi,34.48,8,1.28,clear sky
2025-03-09,13:11:00,Surat,35.75,18,3.22,clear sky
2025-03-09,13:11:02,Visakhapatnam,29.22,56,4.04,clear sky
2025-03-09,13:11:35,Delhi,31.51,11,1.43,clear sky
2025-03-09,13:11:37,Mumbai,30.5,41,4.88,clear sky
2025-03-09,13:11:39,Kolkata,33.42,23,2.04,clear sky
2025-03-09,13:11:41,Chennai,29.25,51,5.22,clear sky
2025-03-09,13:11:43,Bengaluru,33.43,13,4.65,broken clouds
2025-03-09,13:11:46,Hyderabad,34.14,16,4.14,clear sky
2025-03-09,13:11:48,Pune,34.42,12,2.29,clear sky
2025-03-09,13:11:50,Ahmedabad,37.1,12,0.14,clear sky
2025-03-09,13:11:52,Jaipur,32.32,12,4.09,clear sky
2025-03-09,13:11:54,Lucknow,32.27,10,1.45,clear sky
2025-03-09,13:11:57,Kanpur,33.19,9,2.46,clear sky
2025-03-09,13:11:59,Guwahati,31.69,17,2.92,clear sky
2025-03-09,13:12:01,Indore,33.55,12,3.84,clear sky
2025-03-09,13:12:03,Patna,32.4,10,3.09,clear sky
2025-03-09,13:12:05,Bhopal,33.38,12,2.52,clear sky
2025-03-09,13:12:08,Ludhiana,31.32,14,1.18,broken clouds
2025-03-09,13:12:10,Agra,33.71,10,1.96,clear sky
2025-03-09,13:12:12,Varanasi,34.48,8,1.28,clear sky
2025-03-09,13:12:14,Surat,35.75,18,3.22,clear sky
2025-03-09,13:12:16,Visakhapatnam,29.22,56,4.04,clear sky
2025-03-09,13:12:49,Delhi,31.51,11,1.43,clear sky
2025-03-09,13:12:51,Mumbai,30.5,41,4.88,clear sky
2025-03-09,13:12:53,Kolkata,33.42,23,2.04,clear sky
2025-03-09,13:12:55,Chennai,29.25,51,5.22,clear sky
2025-03-09,13:12:57,Bengaluru,33.43,13,4.65,broken clouds
2025-03-09,13:13:00,Hyderabad,34.14,16,4.14,clear sky
2025-03-09,13:13:02,Pune,34.42,12,2.29,clear sky
2025-03-09,13:13:04,Ahmedabad,37.1,12,0.14,clear sky
2025-03-09,13:13:06,Jaipur,32.32,12,4.09,clear sky
2025-03-09,13:13:09,Lucknow,32.27,10,1.45,clear sky
2025-03-09,13:13:11,Kanpur,33.19,9,2.46,clear sky
2025-03-09,13:13:13,Guwahati,31.69,17,2.92,clear sky
2025-03-09,13:13:15,Indore,33.55,12,3.84,clear sky
2025-03-09,13:13:17,Patna,32.4,10,3.09,clear sky
2025-03-09,13:13:20,Bhopal,33.38,12,2.52,clear sky
2025-03-09,13:13:22,Ludhiana,31.32,14,1.18,broken clouds
2025-03-09,13:13:24,Agra,33.71,10,1.96,clear sky
2025-03-09,13:13:26,Varanasi,34.48,8,1.28,clear sky
2025-03-09,13:13:28,Surat,35.75,18,3.22,clear sky
2025-03-09,13:13:31,Visakhapatnam,29.22,56,4.04,clear sky
